Date,open,high,low,Close,adjusted_close,volume
18-08-2017,1237,1274.95,1235.7,1256.9,1226.196,2837356
17-08-2017,1250.35,1252.5,1231.05,1242.8199,1212.4601,1752374
16-08-2017,1242,1271.9,1232.6,1246.1801,1215.738,1373340
14-08-2017,1251.5,1254.95,1231.5,1234.7,1204.5386,786504
11-08-2017,1249.95,1267.5,1241.5,1248.03,1217.543,1394736
10-08-2017,1254.5,1260.3,1243.1801,1255.72,1225.0449,1526172
09-08-2017,1250,1261.4301,1246.65,1256,1225.3182,992946
08-08-2017,1256,1264.3,1248.15,1251.53,1220.9575,1073958
07-08-2017,1258.25,1260,1240.6,1251.72,1221.1428,1885520
04-08-2017,1245.4,1264.15,1244,1261.4,1230.5863,1387890
03-08-2017,1240,1251,1233.22,1244.72,1214.3138,1882548
02-08-2017,1250,1254,1231,1236.9,1206.6848,1251024
01-08-2017,1250,1260.38,1245.5,1250.8199,1220.2646,1747460
31-07-2017,1235.5,1259.5,1231.5,1245.9,1215.4651,2019662
28-07-2017,1240.5,1246.53,1221,1242.15,1211.8066,1382752
27-07-2017,1271.1,1292.4,1233.25,1240.85,1210.5382,4255304
26-07-2017,1280,1287.5,1273.5,1278,1246.7809,1459826
25-07-2017,1262.88,1290,1259.2,1285.75,1254.3417,2678832
24-07-2017,1241,1270,1241,1265.35,1234.4398,2271402
21-07-2017,1217.45,1250,1217.28,1245.6,1208.3433,2148416
20-07-2017,1224.62,1228.45,1215.25,1222.35,1185.7888,1182504
19-07-2017,1207.75,1230,1207.55,1224.8,1188.1655,3915576
18-07-2017,1198.0699,1221.5,1198.0699,1204.1801,1168.1622,1908002
17-07-2017,1198.85,1211.05,1191.1,1197.72,1161.8954,2211822
14-07-2017,1191.5,1212.5,1187.5,1198.72,1162.8655,4508432
13-07-2017,1222.5,1236,1213.3,1223.2,1186.6133,3131960
12-07-2017,1241.25,1241.65,1215.05,1219.72,1183.2374,2646450
11-07-2017,1213,1257.4,1213,1237.9,1200.8735,3537504
10-07-2017,1203,1222.45,1189.47,1217.47,1181.0546,783608
07-07-2017,1175,1178.22,1162.75,1165.97,1131.0948,1232090
06-07-2017,1179.5,1180.95,1170.05,1173.78,1138.6715,1026788
05-07-2017,1180.4,1182.5,1172.5,1178,1142.7653,815856
04-07-2017,1186.65,1190.22,1175.03,1183.4301,1148.0328,1215134
03-07-2017,1178.7,1191.53,1171.55,1186.8,1151.3021,1475956
30-06-2017,1162.2,1188.5,1161.55,1181.1801,1145.8502,1753848
29-06-2017,1179.5,1186.03,1161.55,1166.62,1131.7256,2471826
28-06-2017,1174.95,1179,1167.5,1175.03,1139.8842,1789726
27-06-2017,1175.3,1192.35,1165.8,1171.4301,1136.3918,1974330
23-06-2017,1199.7,1206.97,1177,1180.85,1145.53,1424756
22-06-2017,1204.5,1215.5,1192.5,1197.4301,1161.6141,5775882
21-06-2017,1220,1221.0699,1198.6,1203.15,1167.163,1657818
20-06-2017,1215.5,1224.5,1190.15,1222.5,1185.9341,1670958
19-06-2017,1208.45,1223.1801,1202.5699,1215.85,1179.483,1644742
16-06-2017,1207.47,1217.5,1193.25,1199.85,1163.9617,2450426
15-06-2017,1234.5,1234.85,1202.5,1205.6,1169.5397,2997198
14-06-2017,1227.5,1238,1227.5,1235.1,1198.1572,1489142
13-06-2017,1232.5,1240.55,1223.5,1225.78,1189.1163,1175414
12-06-2017,1248.5,1256.45,1235.2,1243.6,1179.7256,1626506
09-06-2017,1260,1273.7,1243,1253.5,1189.1172,3148034
08-06-2017,1299,1302.47,1257.75,1260.8,1196.0425,3330714
07-06-2017,1348.5,1350,1288.28,1307.62,1240.4574,4927776
06-06-2017,1315.5,1354.47,1315,1348,1278.7635,5946720
05-06-2017,1282.5,1309.95,1280.0699,1301.97,1235.0978,1500188
02-06-2017,1278.12,1295.9301,1276.25,1282.45,1216.5801,1355648
01-06-2017,1265,1282,1265,1276.8,1211.2206,1080064
31-05-2017,1266.5,1286.25,1264,1273.3,1207.9003,2502730
30-05-2017,1280,1287.97,1262.5,1275.55,1210.0347,927634
29-05-2017,1289.5,1298.25,1282,1286.4301,1220.3558,1749290
